127.0.0.1 - - [26/Dec/2015:00:09:59 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:00 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:00 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:01 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:01 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:01 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:10:06 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/index.html HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 200 247597
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 200 411376
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:23 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:29 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:10:29 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css.map HTTP/1.1" 200 389227
127.0.0.1 - - [26/Dec/2015:00:14:28 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
127.0.0.1 - - [26/Dec/2015:00:14:28 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css.map HTTP/1.1" 200 389227
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:35 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:35 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:35 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:35 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:35 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:00:29:36 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1503
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:29:59 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:30:18 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:17 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 200 146082
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:33:49 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1602
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:34:45 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1636
127.0.0.1 - - [26/Dec/2015:00:36:17 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:36:17 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:36:17 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:36:17 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Dec/2015:00:36:17 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 1637
